Lemma,Gender,Nom_Sg,Gen_Sg,Acc_Sg,Voc_Sg,Nom_Pl,Gen_Pl,Acc_Pl,Voc_Pl
αίμα,Neut,αίμα,αίματος,αίμα,αίμα,αίματα,αιμάτων,αίματα,αίματα
αίνιγμα,Neut,αίνιγμα,αινίγματος,αίνιγμα,αίνιγμα,αινίγματα,αινιγμάτων,αινίγματα,αινίγματα
αίρεση,Fem,αίρεση,αίρεσης,αίρεση,αίρεση,αιρέσεις,αιρέσεων,αιρέσεις,αιρέσεις
αίσθημα,Neut,αίσθημα,αισθήματος,αίσθημα,αίσθημα,αισθήματα,αισθημάτων,αισθήματα,αισθήματα
αίσθηση,Fem,αίσθηση,αίσθησης,αίσθηση,αίσθηση,αισθήσεις,αισθήσεων,αισθήσεις,αισθήσεις
αίτημα,Neut,αίτημα,αιτήματος,αίτημα,αίτημα,αιτήματα,αιτημάτων,αιτήματα,αιτήματα
αίτηση,Fem,αίτηση,αίτησης,αίτηση,αίτηση,αιτήσεις,αιτήσεων,αιτήσεις,αιτήσεις
αίτιο,Neut,αίτιο,αίτιου,αίτιο,αίτιο,αίτια,αιτίων,αίτια,αίτια
αβγό,Neut,αβγό,αβγού,αβγό,αβγό,αβγά,αβγών,αβγά,αβγά
αβεβαιότητα,Fem,αβεβαιότητα,αβεβαιότητας,αβεβαιότητα,αβεβαιότητα,αβεβαιότητες,αβεβαιοτήτων,αβεβαιότητες,αβεβαιότητες
αγάπη,Fem,αγάπη,αγάπης,αγάπη,αγάπη,αγάπες,αγαπών,αγάπες,αγάπες
αγαθά,Neut,,,,,αγαθά,αγαθών,αγαθά,αγαθά
αγαθό,Neut,αγαθό,αγαθού,αγαθό,αγαθό,αγαθά,αγαθών,αγαθά,αγαθά
αγαπημένος,Masc,αγαπημένος,αγαπημένου,αγαπημένο,αγαπημένε,αγαπημένοι,αγαπημένων,αγαπημένους,αγαπημένοι
αγγαρεία,Fem,αγγαρεία,αγγαρείας,αγγαρεία,αγγαρεία,αγγαρείες,αγγαρειών,αγγαρείες,αγγαρείες
αγγείο,Neut,αγγείο,αγγείου,αγγείο,αγγείο,αγγεία,αγγείων,αγγεία,αγγεία
αγγελία,Fem,αγγελία,αγγελίας,αγγελία,αγγελία,αγγελίες,αγγελιών,αγγελίες,αγγελίες
αγελάδα,Fem,αγελάδα,αγελάδας,αγελάδα,αγελάδα,αγελάδες,αγελάδων,αγελάδες,αγελάδες
αγκαλιά,Fem,αγκαλιά,αγκαλιάς,αγκαλιά,αγκαλιά,αγκαλιές,αγκαλιών,αγκαλιές,αγκαλιές
αγκώνας,Masc,αγκώνας,αγκώνα,αγκώνα,αγκώνα,αγκώνες,αγκώνων,αγκώνες,αγκώνες
αγνοούμενος,Masc,αγνοούμενος,αγνοουμένου,αγνοούμενο,αγνοούμενε,αγνοούμενοι,αγνοουμένων,αγνοουμένους,αγνοούμενοι
αγορά,Fem,αγορά,αγοράς,αγορά,αγορά,αγορές,αγορών,αγορές,αγορές
αγοραστής,Masc,αγοραστής,αγοραστή,αγοραστή,αγοραστή,αγοραστές,αγοραστών,αγοραστές,αγοραστές
αγροικία,Fem,αγροικία,αγροικίας,αγροικία,αγροικία,αγροικίες,αγροικιών,αγροικίες,αγροικίες
αγρόκτημα,Neut,αγρόκτημα,αγροκτήματος,αγρόκτημα,αγρόκτημα,αγροκτήματα,αγροκτημάτων,αγροκτήματα,αγροκτήματα
αγρός,Masc,αγρός,αγρού,αγρό,αγρέ,αγροί,αγρών,αγρούς,αγροί
αγρότης,Masc,αγρότης,αγρότη,αγρότη,αγρότη,αγρότες,αγροτών,αγρότες,αγρότες
